factor_id,source_class,activity,unit,gas,value_primary,source_primary,vintage_primary,value_crosscheck,source_crosscheck,vintage_crosscheck,deviation_pct,flags,notes
fuel_diesel_co2_per_litre,fuel,Diesel / gas oil (stationary + DG sets + vehicles),kg CO2 per litre,CO2,2.90999,GHG Protocol Cross-Sector Tools EF workbook v2.0,v2.0 (Mar 2024; IPCC 2006 basis),2.62818,UK DESNZ/DEFRA GHG conversion factors 2026 (full set),"2026 (pub. 11 Jun 2026, last upd. 31 Jul 2026)",-9.68,tier1-default|deviation-gt-5pct,"GHGP Stationary Combustion Table 1, fuel 'Gas/Diesel oil2'; NCV 43 TJ/Gg (net/lower heating value basis). GHGP liquid density 0.91328 kg/litre. Cross-check: DEFRA 2026 Fuels, 'diesel (100% mineral diesel)', litres, column 'kg CO2e of CO2 per unit' (= kg CO2, GWP-invariant)."
fuel_diesel_ch4_per_litre,fuel,Diesel / gas oil (stationary + DG sets + vehicles),kg CH4 per litre,CH4,0.000392711,GHG Protocol Cross-Sector Tools EF workbook v2.0,v2.0 (Mar 2024; IPCC 2006 basis),1.03571e-05,UK DESNZ/DEFRA GHG conversion factors 2026 (full set),"2026 (pub. 11 Jun 2026, last upd. 31 Jul 2026)",-97.36,tier1-default|deviation-gt-5pct,"GHGP Stationary Combustion Table 2, fuel 'Gas/Diesel oil2'; NCV 43 TJ/Gg (net/lower heating value basis). GHGP liquid density 0.91328 kg/litre. Cross-check unit reconciliation: DEFRA publishes CH4 pre-weighted as CO2e; divided by DEFRA's own AR5 GWP (28.0) to recover kg CH4 per litre. GHGP uses IPCC 2006 generic Tier 1 defaults while DEFRA uses UK GHGI measured factors, so a large divergence here is methodological, not an error."
fuel_diesel_n2o_per_litre,fuel,Diesel / gas oil (stationary + DG sets + vehicles),kg N2O per litre,N2O,2.35626e-05,GHG Protocol Cross-Sector Tools EF workbook v2.0,v2.0 (Mar 2024; IPCC 2006 basis),0.00012483,UK DESNZ/DEFRA GHG conversion factors 2026 (full set),"2026 (pub. 11 Jun 2026, last upd. 31 Jul 2026)",429.78,tier1-default|deviation-gt-5pct,"GHGP Stationary Combustion Table 3, fuel 'Gas/Diesel oil2'; NCV 43 TJ/Gg (net/lower heating value basis). GHGP liquid density 0.91328 kg/litre. Cross-check unit reconciliation: DEFRA publishes N2O pre-weighted as CO2e; divided by DEFRA's own AR5 GWP (265.0) to recover kg N2O per litre. GHGP uses IPCC 2006 generic Tier 1 defaults while DEFRA uses UK GHGI measured factors, so a large divergence here is methodological, not an error."
fuel_diesel_co2_per_tonne,fuel,Diesel / gas oil (stationary + DG sets + vehicles),kg CO2 per tonne,CO2,3186.3,GHG Protocol Cross-Sector Tools EF workbook v2.0,v2.0 (Mar 2024; IPCC 2006 basis),3164.33,UK DESNZ/DEFRA GHG conversion factors 2026 (full set),"2026 (pub. 11 Jun 2026, last upd. 31 Jul 2026)",-0.69,tier1-default,"GHGP Stationary Combustion Table 1, fuel 'Gas/Diesel oil2'; NCV 43 TJ/Gg (net/lower heating value basis). Cross-check: DEFRA 2026 Fuels, 'diesel (100% mineral diesel)', tonnes, column 'kg CO2e of CO2 per unit' (= kg CO2, GWP-invariant)."
fuel_diesel_ch4_per_tonne,fuel,Diesel / gas oil (stationary + DG sets + vehicles),kg CH4 per tonne,CH4,0.43,GHG Protocol Cross-Sector Tools EF workbook v2.0,v2.0 (Mar 2024; IPCC 2006 basis),0.0124,UK DESNZ/DEFRA GHG conversion factors 2026 (full set),"2026 (pub. 11 Jun 2026, last upd. 31 Jul 2026)",-97.12,tier1-default|deviation-gt-5pct,"GHGP Stationary Combustion Table 2, fuel 'Gas/Diesel oil2'; NCV 43 TJ/Gg (net/lower heating value basis). Cross-check unit reconciliation: DEFRA publishes CH4 pre-weighted as CO2e; divided by DEFRA's own AR5 GWP (28.0) to recover kg CH4 per tonne. GHGP uses IPCC 2006 generic Tier 1 defaults while DEFRA uses UK GHGI measured factors, so a large divergence here is methodological, not an error."
fuel_diesel_n2o_per_tonne,fuel,Diesel / gas oil (stationary + DG sets + vehicles),kg N2O per tonne,N2O,0.0258,GHG Protocol Cross-Sector Tools EF workbook v2.0,v2.0 (Mar 2024; IPCC 2006 basis),0.148054,UK DESNZ/DEFRA GHG conversion factors 2026 (full set),"2026 (pub. 11 Jun 2026, last upd. 31 Jul 2026)",473.85,tier1-default|deviation-gt-5pct,"GHGP Stationary Combustion Table 3, fuel 'Gas/Diesel oil2'; NCV 43 TJ/Gg (net/lower heating value basis). Cross-check unit reconciliation: DEFRA publishes N2O pre-weighted as CO2e; divided by DEFRA's own AR5 GWP (265.0) to recover kg N2O per tonne. GHGP uses IPCC 2006 generic Tier 1 defaults while DEFRA uses UK GHGI measured factors, so a large divergence here is methodological, not an error."
fuel_petrol_co2_per_litre,fuel,Petrol / motor gasoline,kg CO2 per litre,CO2,2.28819,GHG Protocol Cross-Sector Tools EF workbook v2.0,v2.0 (Mar 2024; IPCC 2006 basis),2.33955,UK DESNZ/DEFRA GHG conversion factors 2026 (full set),"2026 (pub. 11 Jun 2026, last upd. 31 Jul 2026)",2.24,tier1-default,"GHGP Stationary Combustion Table 1, fuel 'Motor gasoline2'; NCV 44.3 TJ/Gg (net/lower heating value basis). GHGP liquid density 0.74534 kg/litre. Cross-check: DEFRA 2026 Fuels, 'petrol (100% mineral petrol)', litres, column 'kg CO2e of CO2 per unit' (= kg CO2, GWP-invariant)."
fuel_petrol_ch4_per_litre,fuel,Petrol / motor gasoline,kg CH4 per litre,CH4,0.000330187,GHG Protocol Cross-Sector Tools EF workbook v2.0,v2.0 (Mar 2024; IPCC 2006 basis),0.000292857,UK DESNZ/DEFRA GHG conversion factors 2026 (full set),"2026 (pub. 11 Jun 2026, last upd. 31 Jul 2026)",-11.31,tier1-default|deviation-gt-5pct,"GHGP Stationary Combustion Table 2, fuel 'Motor gasoline2'; NCV 44.3 TJ/Gg (net/lower heating value basis). GHGP liquid density 0.74534 kg/litre. Cross-check unit reconciliation: DEFRA publishes CH4 pre-weighted as CO2e; divided by DEFRA's own AR5 GWP (28.0) to recover kg CH4 per litre. GHGP uses IPCC 2006 generic Tier 1 defaults while DEFRA uses UK GHGI measured factors, so a large divergence here is methodological, not an error."
fuel_petrol_n2o_per_litre,fuel,Petrol / motor gasoline,kg N2O per litre,N2O,1.98112e-05,GHG Protocol Cross-Sector Tools EF workbook v2.0,v2.0 (Mar 2024; IPCC 2006 basis),2.25283e-05,UK DESNZ/DEFRA GHG conversion factors 2026 (full set),"2026 (pub. 11 Jun 2026, last upd. 31 Jul 2026)",13.71,tier1-default|deviation-gt-5pct,"GHGP Stationary Combustion Table 3, fuel 'Motor gasoline2'; NCV 44.3 TJ/Gg (net/lower heating value basis). GHGP liquid density 0.74534 kg/litre. Cross-check unit reconciliation: DEFRA publishes N2O pre-weighted as CO2e; divided by DEFRA's own AR5 GWP (265.0) to recover kg N2O per litre. GHGP uses IPCC 2006 generic Tier 1 defaults while DEFRA uses UK GHGI measured factors, so a large divergence here is methodological, not an error."
fuel_petrol_co2_per_tonne,fuel,Petrol / motor gasoline,kg CO2 per tonne,CO2,3069.99,GHG Protocol Cross-Sector Tools EF workbook v2.0,v2.0 (Mar 2024; IPCC 2006 basis),3135,UK DESNZ/DEFRA GHG conversion factors 2026 (full set),"2026 (pub. 11 Jun 2026, last upd. 31 Jul 2026)",2.12,tier1-default,"GHGP Stationary Combustion Table 1, fuel 'Motor gasoline2'; NCV 44.3 TJ/Gg (net/lower heating value basis). Cross-check: DEFRA 2026 Fuels, 'petrol (100% mineral petrol)', tonnes, column 'kg CO2e of CO2 per unit' (= kg CO2, GWP-invariant)."
