borrower_id,year,scenario,branch,tier,tier_label_plain,cost_eur,materiality_ratio,band,band_sort,band_label,price_eur,free_allocation_share,counted_tonnes,threshold_tonnes,below_threshold,estimated,cost_basis,cost_basis_label
B001,2026,current_policies,adopted,2,Imports CBAM goods,2850.0,0.002375000000000002,L,1,below 1 percent of EBITDA,60.0,0.975,1000.0,50.0,false,false,direct_obligation,Certificates on imported goods
B001,2027,current_policies,adopted,2,Imports CBAM goods,5700.0,0.004750000000000004,L,1,below 1 percent of EBITDA,60.0,0.95,1000.0,50.0,false,false,direct_obligation,Certificates on imported goods
B001,2028,current_policies,adopted,2,Imports CBAM goods,11400.0,0.009499999999999998,L,1,below 1 percent of EBITDA,60.0,0.9,1000.0,50.0,false,false,direct_obligation,Certificates on imported goods
B001,2029,current_policies,adopted,2,Imports CBAM goods,25650.0,0.021374999999999998,ML,2,1 to 3 percent of EBITDA,60.0,0.775,1000.0,50.0,false,false,direct_obligation,Certificates on imported goods
B001,2030,current_policies,adopted,2,Imports CBAM goods,55290.0,0.046075,M,3,3 to 6 percent of EBITDA,60.0,0.515,1000.0,50.0,false,false,direct_obligation,Certificates on imported goods
B001,2031,current_policies,adopted,2,Imports CBAM goods,69540.0,0.05795,M,3,3 to 6 percent of EBITDA,60.0,0.39,1000.0,50.0,false,false,direct_obligation,Certificates on imported goods
B001,2032,current_policies,adopted,2,Imports CBAM goods,83790.0,0.069825,MH,4,6 to 12 percent of EBITDA,60.0,0.265,1000.0,50.0,false,false,direct_obligation,Certificates on imported goods
B001,2033,current_policies,adopted,2,Imports CBAM goods,98040.0,0.0817,MH,4,6 to 12 percent of EBITDA,60.0,0.14,1000.0,50.0,false,false,direct_obligation,Certificates on imported goods
B001,2034,current_policies,adopted,2,Imports CBAM goods,114000.0,0.095,MH,4,6 to 12 percent of EBITDA,60.0,0.0,1000.0,50.0,false,false,direct_obligation,Certificates on imported goods
B001,2035,current_policies,adopted,2,Imports CBAM goods,114000.0,0.095,MH,4,6 to 12 percent of EBITDA,60.0,0.0,1000.0,50.0,false,false,direct_obligation,Certificates on imported goods
B001,2026,delayed_transition,adopted,2,Imports CBAM goods,3800.0,0.003166666666666669,L,1,below 1 percent of EBITDA,80.0,0.975,1000.0,50.0,false,false,direct_obligation,Certificates on imported goods
B001,2027,delayed_transition,adopted,2,Imports CBAM goods,7600.0,0.006333333333333338,L,1,below 1 percent of EBITDA,80.0,0.95,1000.0,50.0,false,false,direct_obligation,Certificates on imported goods
