borrower_id,year,scenario,branch,line_order,good_group,quantity,emission_factor,factor_basis,price_eur,free_allocation_share,charged_share,charged_share_label,cost_eur,cost_basis
B001,2026,current_policies,adopted,1,steel,1000.0,1.9,default,60.0,0.975,0.025000000000000022,share not covered by free allocation,2850.0,direct_obligation
B001,2027,current_policies,adopted,1,steel,1000.0,1.9,default,60.0,0.95,0.050000000000000044,share not covered by free allocation,5700.0,direct_obligation
B001,2028,current_policies,adopted,1,steel,1000.0,1.9,default,60.0,0.9,0.09999999999999998,share not covered by free allocation,11400.0,direct_obligation
B001,2029,current_policies,adopted,1,steel,1000.0,1.9,default,60.0,0.775,0.22499999999999998,share not covered by free allocation,25650.0,direct_obligation
B001,2030,current_policies,adopted,1,steel,1000.0,1.9,default,60.0,0.515,0.485,share not covered by free allocation,55290.0,direct_obligation
B001,2031,current_policies,adopted,1,steel,1000.0,1.9,default,60.0,0.39,0.61,share not covered by free allocation,69540.0,direct_obligation
B001,2032,current_policies,adopted,1,steel,1000.0,1.9,default,60.0,0.265,0.735,share not covered by free allocation,83790.0,direct_obligation
B001,2033,current_policies,adopted,1,steel,1000.0,1.9,default,60.0,0.14,0.86,share not covered by free allocation,98040.0,direct_obligation
B001,2034,current_policies,adopted,1,steel,1000.0,1.9,default,60.0,0.0,1.0,share not covered by free allocation,114000.0,direct_obligation
B001,2035,current_policies,adopted,1,steel,1000.0,1.9,default,60.0,0.0,1.0,share not covered by free allocation,114000.0,direct_obligation
B001,2026,delayed_transition,adopted,1,steel,1000.0,1.9,default,80.0,0.975,0.025000000000000022,share not covered by free allocation,3800.0,direct_obligation
B001,2027,delayed_transition,adopted,1,steel,1000.0,1.9,default,80.0,0.95,0.050000000000000044,share not covered by free allocation,7600.0,direct_obligation
B001,2028,delayed_transition,adopted,1,steel,1000.0,1.9,default,80.0,0.9,0.09999999999999998,share not covered by free allocation,15200.0,direct_obligation
B001,2029,delayed_transition,adopted,1,steel,1000.0,1.9,default,80.0,0.775,0.22499999999999998,share not covered by free allocation,34200.0,direct_obligation
B001,2030,delayed_transition,adopted,1,steel,1000.0,1.9,default,80.0,0.515,0.485,share not covered by free allocation,73720.0,direct_obligation
B001,2031,delayed_transition,adopted,1,steel,1000.0,1.9,default,80.0,0.39,0.61,share not covered by free allocation,92720.0,direct_obligation
B001,2032,delayed_transition,adopted,1,steel,1000.0,1.9,default,80.0,0.265,0.735,share not covered by free allocation,111720.0,direct_obligation
B001,2033,delayed_transition,adopted,1,steel,1000.0,1.9,default,80.0,0.14,0.86,share not covered by free allocation,130720.0,direct_obligation
B001,2034,delayed_transition,adopted,1,steel,1000.0,1.9,default,80.0,0.0,1.0,share not covered by free allocation,152000.0,direct_obligation
