borrower_id,name,nace_code,country,exposure_eur,turnover_eur,ebitda_eur,working_capital_eur,tier,tier_label_plain,tier_rule,tier_reason,estimated,estimated_fields,declarant_status,supplier_data,pass_through,pass_through_share_effective,top_supplier_country,share_top_supplier,bank_transition_rating
B001,Fixture Steel Importers BV,46.72,NL,12000000.0,25000000.0,1200000.0,4000000.0,2,Imports CBAM goods,direct_import,"imports steel from CN, which is outside the EU and not on the exempt list",false,,yes,default,unknown,,CN,0.8,L
B002,Fixture Aluminium Trading NV,46.72,BE,8000000.0,18000000.0,420000.0,2000000.0,2,Imports CBAM goods,direct_import,"imports aluminium from TR, which is outside the EU and not on the exempt list",false,,no,default,unknown,,TR,0.55,L
B003,Fixture Cement Import Cooperative,46.73,NL,1500000.0,3000000.0,250000.0,500000.0,2,Imports CBAM goods,direct_import,"imports cement from UA, which is outside the EU and not on the exempt list",false,,unknown,default,unknown,,UA,0.9,ML
B004,Fixture Fertiliser Blending BV,46.75,NL,6000000.0,14000000.0,900000.0,2500000.0,2,Imports CBAM goods,direct_import,"imports fertiliser from EG, which is outside the EU and not on the exempt list",false,,yes,verified,medium,,EG,0.45,M
B005,Fixture Norway Steel Buyer BV,46.72,NL,3000000.0,9000000.0,600000.0,1000000.0,0,Not affected,out_of_scope,"no producer NACE, no in-scope import and no material input share",false,,no,default,unknown,,NO,0.7,L
B006,Fixture Origin Unknown Importer BV,46.72,DE,4000000.0,11000000.0,500000.0,900000.0,2,Imports CBAM goods,direct_import,"imports steel from an origin that was not supplied, treated as in scope until the origin is confirmed",false,,unknown,unknown,unknown,,,,ML
B007,Fixture Clinker Works NV,23.51,NL,15000000.0,20000000.0,1000000.0,3000000.0,1,Makes CBAM goods in the EU,eu_producer,"NACE 23.51 sits under the producer prefix 23.5, so free allocation is withdrawn as the phase-out runs",true,import_t_cement; pass_through_share_effective,yes,default,unknown,0.5,,,L
B008,Fixture Basic Steel Producer BV,24.10,NL,20000000.0,60000000.0,3000000.0,8000000.0,1,Makes CBAM goods in the EU,eu_producer,"NACE 24.10 sits under the producer prefix 24, so free allocation is withdrawn as the phase-out runs",false,,yes,verified,high,0.5,,,M
B009,Fixture Metal Structures BV,25.11,NL,9000000.0,30000000.0,700000.0,1800000.0,0,Not affected,out_of_scope,"no producer NACE, no in-scope import and no material input share",true,import_t_steel; pass_through_share_effective,unknown,default,unknown,0.4,,,L
B010,Fixture Machinery Works NV,28.20,BE,5000000.0,12000000.0,800000.0,2000000.0,0,Not affected,out_of_scope,"no producer NACE, no in-scope import and no material input share",false,,unknown,default,medium,,,,L
B011,Fixture Construction Group BV,41.20,NL,22000000.0,50000000.0,2000000.0,6000000.0,4,Pays via input prices,input_share,"NACE 41.20 sits under 41, which has a material CBAM-good input share, and the borrower reports no direct import",true,import_t_cement; pass_through_share_effective,unknown,default,unknown,0.3,,,ML
B012,Fixture Meat Processing BV,10.13,IT,3500000.0,8000000.0,-200000.0,400000.0,4,Pays via input prices,input_share,"NACE 10.13 sits under 10.1, which has a material CBAM-good input share, and the borrower reports no direct import",true,import_t_fertiliser; pass_through_share_effective,unknown,default,unknown,0.2,,,L
B013,Fixture Software Services BV,62.01,NL,800000.0,4000000.0,700000.0,900000.0,0,Not affected,out_of_scope,"no producer NACE, no in-scope import and no material input share",false,,yes,verified,high,0.0,,,L
