borrower_id,scenario,branch,year,window,quarter,kind,obligation_year,cash_out_eur,share_of_working_capital
B001,current_policies,adopted,2027,2027 February to September,,block,2026,2850.0,0.0007125000000000007
B001,current_policies,adopted,2027,2027 Q1,1,prepayment,2027,712.5,0.00017812500000000017
B001,current_policies,adopted,2027,2027 Q2,2,prepayment,2027,712.5,0.00017812500000000017
B001,current_policies,adopted,2027,2027 Q3,3,prepayment,2027,712.5,0.00017812500000000017
B001,current_policies,adopted,2027,2027 Q4,4,prepayment,2027,712.5,0.00017812500000000017
B001,current_policies,adopted,2028,2028 Q1,1,prepayment,2028,1425.0,0.00035624999999999996
B001,current_policies,adopted,2028,2028 Q2,2,prepayment,2028,1425.0,0.00035624999999999996
B001,current_policies,adopted,2028,2028 Q3,3,prepayment,2028,1425.0,0.00035624999999999996
B001,current_policies,adopted,2028,2028 Q4,4,prepayment,2028,1425.0,0.00035624999999999996
B001,current_policies,adopted,2028,2028 settlement by 30 September,,settlement,2027,2850.0,0.0007125000000000007
B001,current_policies,adopted,2029,2029 Q1,1,prepayment,2029,3206.25,0.0008015624999999999
B001,current_policies,adopted,2029,2029 Q2,2,prepayment,2029,3206.25,0.0008015624999999999
B001,current_policies,adopted,2029,2029 Q3,3,prepayment,2029,3206.25,0.0008015624999999999
B001,current_policies,adopted,2029,2029 Q4,4,prepayment,2029,3206.25,0.0008015624999999999
B001,current_policies,adopted,2029,2029 settlement by 30 September,,settlement,2028,5700.0,0.0014249999999999998
B001,current_policies,adopted,2030,2030 Q1,1,prepayment,2030,6911.25,0.0017278125
B001,current_policies,adopted,2030,2030 Q2,2,prepayment,2030,6911.25,0.0017278125
B001,current_policies,adopted,2030,2030 Q3,3,prepayment,2030,6911.25,0.0017278125
B001,current_policies,adopted,2030,2030 Q4,4,prepayment,2030,6911.25,0.0017278125
B001,current_policies,adopted,2030,2030 settlement by 30 September,,settlement,2029,12825.0,0.0032062499999999995
B001,current_policies,adopted,2031,2031 Q1,1,prepayment,2031,8692.5,0.002173125
B001,current_policies,adopted,2031,2031 Q2,2,prepayment,2031,8692.5,0.002173125
B001,current_policies,adopted,2031,2031 Q3,3,prepayment,2031,8692.5,0.002173125
B001,current_policies,adopted,2031,2031 Q4,4,prepayment,2031,8692.5,0.002173125
B001,current_policies,adopted,2031,2031 settlement by 30 September,,settlement,2030,27645.0,0.00691125
B001,current_policies,adopted,2032,2032 Q1,1,prepayment,2032,10473.75,0.0026184375
B001,current_policies,adopted,2032,2032 Q2,2,prepayment,2032,10473.75,0.0026184375
B001,current_policies,adopted,2032,2032 Q3,3,prepayment,2032,10473.75,0.0026184375
B001,current_policies,adopted,2032,2032 Q4,4,prepayment,2032,10473.75,0.0026184375
B001,current_policies,adopted,2032,2032 settlement by 30 September,,settlement,2031,34770.0,0.0086925
B001,current_policies,adopted,2033,2033 Q1,1,prepayment,2033,12255.0,0.00306375
B001,current_policies,adopted,2033,2033 Q2,2,prepayment,2033,12255.0,0.00306375
B001,current_policies,adopted,2033,2033 Q3,3,prepayment,2033,12255.0,0.00306375
B001,current_policies,adopted,2033,2033 Q4,4,prepayment,2033,12255.0,0.00306375
B001,current_policies,adopted,2033,2033 settlement by 30 September,,settlement,2032,41895.0,0.01047375
B001,current_policies,adopted,2034,2034 Q1,1,prepayment,2034,14250.0,0.0035625
B001,current_policies,adopted,2034,2034 Q2,2,prepayment,2034,14250.0,0.0035625
B001,current_policies,adopted,2034,2034 Q3,3,prepayment,2034,14250.0,0.0035625
